kyomeishusei2015.00001.1.1： 脩相思、毌相忘。
kyomeishusei2015.00084.1.2： 有月之a(iaŋ)明。
kyomeishusei2015.00085.1.1： 見之光。
kyomeishusei2015.00085.1.2： 長有日月之a(iaŋ)明。
kyomeishusei2015.00086.1.1： 毌棄故而娶新。
kyomeishusei2015.00086.1.2： 亦成a(in)親。
kyomeishusei2015.00086.1.3： 心與心、長毌相忘。
kyomeishusei2015.00086.1.4： 倶死葬何b(ɑŋ)傷。
kyomeishusei2015.00087.1.1： 心與心、亦誠親。
kyomeishusei2015.00087.1.2： 終不去子從他a(in)人。
kyomeishusei2015.00087.1.3： 所與豫言不可不信。
kyomeishusei2015.00088.1.1： 恐浮雲兮敝白日。
kyomeishusei2015.00088.1.2： 復請美兮弇素a(it)質。
kyomeishusei2015.00088.1.3： 行精白兮光運明。
kyomeishusei2015.00088.1.4： 謗言眾兮有何b(ɑŋ)傷。
kyomeishusei2015.00089.1.1： 金英陰光冝美人。
kyomeishusei2015.00089.1.2： 以察衣服無私a(in)親。
kyomeishusei2015.00090.1.1： 請誏金華以爲鏡、昭察衣服觀容貎、絲組中□可爲信。
kyomeishusei2015.00090.1.2： 光冝美a(in)人。
kyomeishusei2015.00091.1.1： 淸誏銅華以爲鏡、昭察衣服觀容貎、絲組雜遝以爲信。
kyomeishusei2015.00091.1.2： 淸光兮冝佳a(in)人。
kyomeishusei2015.00092.1.1： 淸誏銅華以爲鏡、昭察衣服觀容貎、絲組雜遝以爲信。
kyomeishusei2015.00092.1.2： 淸光兮冝佳a(in)人。
kyomeishusei2015.00093.1.1： 淸誏銅華兮以爲監、炤察衣服兮觀傛貎、絲組緡遝兮以爲信。
kyomeishusei2015.00093.1.2： 淸光兮冝佳a(in)人。
kyomeishusei2015.00094.1.1： 伏念所驩旖無窮時。
kyomeishusei2015.00094.1.2： 長毋相忘旖久相a(iə)思。
kyomeishusei2015.00095.1.1： 忽以覺、寤不得。
kyomeishusei2015.00095.1.2： 亶自欺、私大a(ik)息。
kyomeishusei2015.00096.1.1： 淸誏銅華以爲鏡。
kyomeishusei2015.00096.1.2： 絲組爲＊以爲信、淸光a(iaŋ)明。
kyomeishusei2015.00096.1.3： 服者富貴番昌。
kyomeishusei2015.00096.1.4： 樂未b(iɑŋ)央。
kyomeishusei2015.00096.1.5： 千秋萬世、長毌相忘。
kyomeishusei2015.00096.1.6： 時來何c(ɑŋ)傷。
kyomeishusei2015.00097.1.1： 見日之光。
kyomeishusei2015.00097.1.2： 天下大a(iaŋ)明。
kyomeishusei2015.00097.1.3： 服者君卿。
kyomeishusei2015.00097.1.4： 鏡辟不b(ɑŋ)羊。
kyomeishusei2015.00097.1.5： 富於矦王。
kyomeishusei2015.00097.1.6： 錢金滿b(ɑŋ)堂。
kyomeishusei2015.00098.1.1： 見日之光。
kyomeishusei2015.00098.1.2： 天下大a(iaŋ)明。
kyomeishusei2015.00098.1.3： 驅辟不羊。
kyomeishusei2015.00098.1.4： 服者富貴番b(ɑŋ)昌。
kyomeishusei2015.00099.1.1： 見日之光。
kyomeishusei2015.00099.1.2： 天下大a(iaŋ)明。
kyomeishusei2015.00099.1.3： 樂未央。
kyomeishusei2015.00099.1.4： 千秋萬世毌相b(uɑŋ)忘。
kyomeishusei2015.00099.1.5： 時來何傷。
kyomeishusei2015.00099.1.6： 冝b(uɑŋ)王。
kyomeishusei2015.00100.1.1： 見日之光乎。
kyomeishusei2015.00100.1.2： 與君長毌相a(uɑŋ)忘兮。
kyomeishusei2015.00101.1.1： 誏淸華精皎白。
kyomeishusei2015.00101.1.2： 奄惠芳承加a(ak)澤。
kyomeishusei2015.00101.1.3： 結微顏安佼信。
kyomeishusei2015.00101.1.4： 燿流光似佳b(in)人。
kyomeishusei2015.00102.1.1： 居必忠必信。
kyomeishusei2015.00102.1.2： 久而益a(in)親。
kyomeishusei2015.00102.1.3： 而不信不忠。
kyomeishusei2015.00102.1.4： 久而自b(uŋ)窮。
kyomeishusei2015.00103.1.1： 姚皎光而耀美、挾佳都而承閒。
kyomeishusei2015.00103.1.2： 懷驩察而惟豫、愛存神而不a(ian)遷。
kyomeishusei2015.00103.1.3： 得竝埶而不衰、精照折而侍君。
kyomeishusei2015.00104.1.1： 君忘忘而先志兮。
kyomeishusei2015.00104.1.2： 愛使心曳者a(o)臾。
kyomeishusei2015.00104.1.3： 不可盡行、心沄結而獨愁。
kyomeishusei2015.00104.1.4： 明知非不可更、志所驩不能b(ə)已。
kyomeishusei2015.00105.1.1： 君有行、妾有憂。
kyomeishusei2015.00105.1.2： 行有日、反毋a(iə)期。
kyomeishusei2015.00105.1.3： 願君强飯多勉之。
kyomeishusei2015.00105.1.4： 卬天大息、長相a(iə)思。
kyomeishusei2015.00105.1.5： 毌久。
kyomeishusei2015.00106.1.1： 行有日兮反毌時。
kyomeishusei2015.00106.1.2： 結中帶兮長相a(iə)思。
kyomeishusei2015.00106.1.3： 妾負君兮萬不疑。
kyomeishusei2015.00106.1.4： 君負妾兮天b(e)知之。
kyomeishusei2015.00107.1.1： 君有遠行、妾私喜饒自次。
kyomeishusei2015.00107.1.2： 眞止君征行a(ɛk)來。
kyomeishusei2015.00107.1.3： 何以爲信、祝父母耳。
kyomeishusei2015.00107.1.4： 何木毌庇、何人毌b(u)友。
kyomeishusei2015.00107.1.5： 相思有常、可長久。
kyomeishusei2015.00108.1.1： 日有喜。
kyomeishusei2015.00108.1.2： 月有a(u)富。
kyomeishusei2015.00108.1.3： 樂毌事。
kyomeishusei2015.00108.1.4： 常得b(iə)意。
kyomeishusei2015.00108.1.5： 美人會、竽瑟侍。
kyomeishusei2015.00108.1.6： 賈市c(ieŋ)程。
kyomeishusei2015.00108.1.7： 萬物平。
kyomeishusei2015.00108.1.8： 老復d(o)丁。
kyomeishusei2015.00108.1.9： 死復生。
kyomeishusei2015.00108.1.10： 醉不知、醒旦c(ieŋ)星。
kyomeishusei2015.00109.1.1： 日有憙。
kyomeishusei2015.00109.1.2： 月有a(u)富。
kyomeishusei2015.00109.1.3： 樂毌有事。
kyomeishusei2015.00109.1.4： 冝酒b(iə)食。
kyomeishusei2015.00109.1.5： 居而必安。
kyomeishusei2015.00109.1.6： 無憂c(uan)患。
kyomeishusei2015.00109.1.7： 竽瑟侍兮、心志驩。
kyomeishusei2015.00109.1.8： 樂已哉乎、固常d(an)然。
kyomeishusei2015.00110.1.1： 湅治銅華淸而明。
kyomeishusei2015.00110.1.2： 以之爲鏡冝文a(ɑŋ)章。
kyomeishusei2015.00110.1.3： 延年益壽辟不羊。
kyomeishusei2015.00110.1.4： 與天無亟如日a(ɑŋ)光。
kyomeishusei2015.00110.1.5： 千秋萬歲樂未央。
kyomeishusei2015.00111.1.1： 湅治銅華得其淸。
kyomeishusei2015.00111.1.2： 以之爲鏡昭身a(eŋ)刑。
kyomeishusei2015.00111.1.3： 五色盡具正赤靑。
kyomeishusei2015.00111.1.4： 與君無亟畢長b(ɛŋ)生。
kyomeishusei2015.00111.1.5： 如日月光兮。
kyomeishusei2015.00112.1.1： 聖人之作鏡兮。
kyomeishusei2015.00112.1.2： 取氣於五a(ɑŋ)行。
kyomeishusei2015.00112.1.3： 生於道康兮。
kyomeishusei2015.00112.1.4： 咸有文a(ɑŋ)章。
kyomeishusei2015.00112.1.5： 光象日月、其質淸剛。
kyomeishusei2015.00112.1.6： 以視玉容兮、辟去不a(ɑŋ)羊。
kyomeishusei2015.00112.1.7： 中國大寧、子孫益昌。
kyomeishusei2015.00112.1.8： 黃常元吉、有紀a(ɑŋ)剛。
kyomeishusei2015.00113.1.1： 視容正己鏡爲右。
kyomeishusei2015.00113.1.2： 得氣五行有剛a(iə)紀。
kyomeishusei2015.00113.1.3： 法似于天終復始。
kyomeishusei2015.00113.1.4： 中國大寧冝孫a(iə)子。
kyomeishusei2015.00114.1.1： 五行德令鏡之精。
kyomeishusei2015.00114.1.2： 光象日月智人a(ieŋ)請。
kyomeishusei2015.00114.1.3： 常保聖樂長生。
kyomeishusei2015.00114.1.4： 風雨時節五穀b(eŋ)成。
kyomeishusei2015.00114.1.5： 家給人足天下平。
kyomeishusei2015.00114.1.6： 子孫累世永安b(eŋ)寧。
kyomeishusei2015.00115.1.1： 維鏡之舊生兮質剛堅。
kyomeishusei2015.00115.1.2： 處于名山兮俟工a(in)人。
kyomeishusei2015.00115.1.3： 湅取菁華兮光耀遵。
kyomeishusei2015.00115.1.4： 升高冝兮進近a(in)親。
kyomeishusei2015.00115.1.5： 昭兆朕兮見躬身。
kyomeishusei2015.00115.1.6： 福喜進兮日以b(en)前。
kyomeishusei2015.00115.1.7： 食玉英兮飮澧泉。
kyomeishusei2015.00115.1.8： 倡樂陳兮見神c(ian)鮮。
kyomeishusei2015.00115.1.9： 葆長命兮壽萬年。
kyomeishusei2015.00115.1.10： 周復始兮傳子d(uən)孫。
kyomeishusei2015.00116.1.1： 内而光、明而淸。
kyomeishusei2015.00116.1.2： 湅石華、下之a(eŋ)菁。
kyomeishusei2015.00116.1.3： 見弓已、知人請。
kyomeishusei2015.00116.1.4： 心志得、畢長b(ɛŋ)生。
kyomeishusei2015.00117.1.1： 金之菁。
kyomeishusei2015.00117.1.2： 視吾a(eŋ)刑。
kyomeishusei2015.00117.1.3： 見至誠。
kyomeishusei2015.00117.1.4： 長思b(un)君。
kyomeishusei2015.00117.1.5： 時來游。
kyomeishusei2015.00117.1.6： 冝子c(uən)孫。
kyomeishusei2015.00117.1.7： 樂無憂。
kyomeishusei2015.00118.1.1： 服此鏡、得大神。
kyomeishusei2015.00118.1.2： 使此a(in)身。
kyomeishusei2015.00118.1.3： 作亖陳。
kyomeishusei2015.00118.1.4： 長富貴、毌憂b(uan)患。
kyomeishusei2015.00118.1.5： 鏡淸明、傳子孫。
kyomeishusei2015.00119.1.1： 長樂未央。
kyomeishusei2015.00119.1.2： 利貳a(in)親。
kyomeishusei2015.00119.1.3： 冝弟兄。
kyomeishusei2015.00119.1.4： 壽萬b(en)年。
kyomeishusei2015.00119.1.5： 長相保、冝子孫。
kyomeishusei2015.00119.1.6： 樂已哉兮、固常c(an)然。
kyomeishusei2015.00120.1.1： 昭是明鏡知人請。
kyomeishusei2015.00120.1.2： 左龍右乕得天a(eŋ)菁。
kyomeishusei2015.00120.1.3： 朱爵玄武法列星。
kyomeishusei2015.00120.1.4： 八子十二孫居安a(eŋ)寧。
kyomeishusei2015.00120.1.5： 常冝酒食樂長生兮。
kyomeishusei2015.00122.1.1： 昭是明鏡人快意。
kyomeishusei2015.00122.1.2： 左龍右乕亖時a(ə)置。
kyomeishusei2015.00122.1.3： 長保二親樂無事。
kyomeishusei2015.00122.1.4： 長冝子孫家大b(u)富。
kyomeishusei2015.00122.1.5： 與君相保常相憶。
kyomeishusei2015.00123.1.1： 昭是明鏡人快意。
kyomeishusei2015.00123.1.2： 左龍右乕亖時a(ə)置。
kyomeishusei2015.00123.1.3： 長保二親樂無事。
kyomeishusei2015.00123.1.4： 子孫眾多皆爲b(iə)吏。
kyomeishusei2015.00123.1.5： 與天毌亟家大富。
kyomeishusei2015.00124.1.1： 朱氏明竟快人意。
kyomeishusei2015.00124.1.2： 上有龍乕亖時a(ə)置。
kyomeishusei2015.00124.1.3： 常保二親冝酒食。
kyomeishusei2015.00124.1.4： 君冝官秩家大b(u)富。
kyomeishusei2015.00124.1.5： 樂未央冝牛羊。
kyomeishusei2015.00125.1.1： 朱氏明竟快人意上有龍乕亖時置常保二親冝酒食君冝官秩家大富樂未央富貴昌與君相a(ou)保。
kyomeishusei2015.00125.1.2： 敝日月b(ɑŋ)光兮。
kyomeishusei2015.00126.1.1： 角王巨虛日有憙昭此明鏡誠快意上有龍乕亖時置長保二親樂毋事子孫順息家富熾豫天無a(ik)極。
kyomeishusei2015.00126.1.2： 受大b(uk)福。
kyomeishusei2015.00127.1.1： 角王巨虛日有憙。
kyomeishusei2015.00127.1.2： 延年益壽去憂a(ə)事。
kyomeishusei2015.00127.1.3： 長樂萬世冝酒食。
kyomeishusei2015.00127.1.4： 子孫賢家大b(u)富。
kyomeishusei2015.00128.1.1： 角王巨虛辟不詳。
kyomeishusei2015.00128.1.2： 倉龍白乕神而a(iaŋ)明。
kyomeishusei2015.00128.1.3： 赤鳥玄武主陰陽。
kyomeishusei2015.00128.1.4： 國寶受福家富b(ɑŋ)昌。
kyomeishusei2015.00128.1.5： 長冝子孫樂未央。
kyomeishusei2015.00129.1.1： 角王巨虛辟不羊。
kyomeishusei2015.00129.1.2： 長生貴富冝矦a(uɑŋ)王。
kyomeishusei2015.00129.1.3： 昭爵玄武利陰陽。
kyomeishusei2015.00129.1.4： 十子九孫治中b(iɑŋ)央。
kyomeishusei2015.00129.1.5： 法象天地、如日月光。
kyomeishusei2015.00129.1.6： 千秋万歲、長樂未b(iɑŋ)央。
kyomeishusei2015.00130.1.1： 朱爵玄武順陰陽。
kyomeishusei2015.00130.1.2： 八子九孫治中a(iɑŋ)央。
kyomeishusei2015.00130.1.3： 照面目、身萬全。
kyomeishusei2015.00130.1.4： 象衣服、好可b(uɑn)觀。
kyomeishusei2015.00130.1.5： 君冝官秩、葆子。
kyomeishusei2015.00131.1.1： 昭匈脅、身萬全。
kyomeishusei2015.00131.1.2： 象衣服、好可a(uɑn)觀。
kyomeishusei2015.00131.1.3： 冝佳人、心意驩。
kyomeishusei2015.00131.1.4： 長裳志、固常b(an)然。
kyomeishusei2015.00131.1.5： 食玉英、飮澧泉。
kyomeishusei2015.00131.1.6： 駕蜚龍、乘浮c(un)雲。
kyomeishusei2015.00131.1.7： 周復始、傳子孫。
kyomeishusei2015.00132.1.1： 福熹進兮日以前。
kyomeishusei2015.00132.1.2： 食玉英兮飮澧a(ian)泉。
kyomeishusei2015.00132.1.3： 駕交龍兮乘浮雲。
kyomeishusei2015.00132.1.4： 白乕引兮上泰b(an)山。
kyomeishusei2015.00132.1.5： 鳳凰集兮見神仙。
kyomeishusei2015.00132.1.6： 保長命兮壽万c(en)年。
kyomeishusei2015.00132.1.7： 周復始兮八子十二孫。
kyomeishusei2015.00133.1.1： 福祿進兮日以前。
kyomeishusei2015.00133.1.2： 天道得物自a(an)然。
kyomeishusei2015.00133.1.3： 參駕蜚龍乘浮雲。
kyomeishusei2015.00133.1.4： 白乕失上大a(an)山。
kyomeishusei2015.00133.1.5： 鳳皇下見神人。
kyomeishusei2015.00134.1.1： 上大山見神人。
kyomeishusei2015.00134.1.2： 食玉英飮澧a(ian)泉。
kyomeishusei2015.00134.1.3： 駕交龍乘浮雲。
kyomeishusei2015.00134.1.4： 白乕引兮直上b(an)天。
kyomeishusei2015.00134.1.5： 受長命壽万年。
kyomeishusei2015.00134.1.6： 冝官秩保子c(uən)孫。
kyomeishusei2015.00135.1.1： 上大山見神人。
kyomeishusei2015.00135.1.2： 食玉英飮醴a(ian)泉。
kyomeishusei2015.00135.1.3： 駕交龍乘浮雲。
kyomeishusei2015.00135.1.4： 冝官秩保子b(uən)孫。
kyomeishusei2015.00135.1.5： 壽万年。
kyomeishusei2015.00135.1.6： 貴富c(ɑŋ)昌。
kyomeishusei2015.00135.1.7： 樂未央。
kyomeishusei2015.00136.1.1： 上大山見神人。
kyomeishusei2015.00136.1.2： 食玉英飮醴a(ian)泉。
kyomeishusei2015.00136.1.3： 駕交龍乘浮雲。
kyomeishusei2015.00136.1.4： 冝官秩保子b(uən)孫。
kyomeishusei2015.00136.1.5： 壽万年。
