kyomeishusei2015.00001.1.1： 脩相思、毌相a忘。
kyomeishusei2015.00038.1.2： 常貴富、樂未a央。
kyomeishusei2015.00039.1.1： 大富a昌。
kyomeishusei2015.00039.1.2： 樂未a央。
kyomeishusei2015.00039.1.3： 千萬歲、冝弟a兄。
kyomeishusei2015.00040.1.1： 常與君、相讙a幸。
kyomeishusei2015.00040.1.2： 毋相a忘。
kyomeishusei2015.00040.1.3： 莫遠a望。
kyomeishusei2015.00041.1.1： 常貴樂未a央。
kyomeishusei2015.00041.1.2： 毌相a忘。
kyomeishusei2015.00042.1.1： 富貴安樂未a央。
kyomeishusei2015.00042.1.2： 長毌相a忘。
kyomeishusei2015.00043.1.1： 久不見、侍前a俙。
kyomeishusei2015.00043.1.2： 秋風起、豫志a悲。
kyomeishusei2015.00044.1.1： 久不見、侍前a俙。
kyomeishusei2015.00044.1.2： 君行卒、豫志a悲。
kyomeishusei2015.00045.1.1： 道路遠、侍前a希。
kyomeishusei2015.00045.1.2： 昔同起、豫志a悲。
kyomeishusei2015.00046.1.1： 長貴a富。
kyomeishusei2015.00046.1.2： 樂毋a事。
kyomeishusei2015.00046.1.3： 日有a憙。
kyomeishusei2015.00046.1.4： 常得所a喜。
kyomeishusei2015.00046.1.5： 冝酒a食。
kyomeishusei2015.00047.1.1： 長貴a富。
kyomeishusei2015.00047.1.2： 樂毋a事。
kyomeishusei2015.00047.1.3： 日有a憙。
kyomeishusei2015.00047.1.4： 冝酒a食。
kyomeishusei2015.00048.1.1： 長貴a富。
kyomeishusei2015.00048.1.2： 樂毋a事。
kyomeishusei2015.00048.1.3： 日有a憙。
kyomeishusei2015.00048.1.4： 不相a忘。
kyomeishusei2015.00049.1.1： 長貴a富。
kyomeishusei2015.00049.1.2： 樂毋a事。
kyomeishusei2015.00049.1.3： 冝酒a食。
kyomeishusei2015.00050.1.1： 常貴a富。
kyomeishusei2015.00050.1.2： 樂毋a事。
kyomeishusei2015.00050.1.3： 日有a憙。
kyomeishusei2015.00050.1.4： 得所a喜。
kyomeishusei2015.00051.1.1： 常貴a富。
kyomeishusei2015.00051.1.2： 樂毋a事。
kyomeishusei2015.00051.1.3： 日有a憙。
kyomeishusei2015.00051.1.4： 美人a侍。
kyomeishusei2015.00052.1.1： 鏡氣錆a明。
kyomeishusei2015.00052.1.2： 服者君a卿。
kyomeishusei2015.00052.1.3： 延年益壽、安樂未a央。
kyomeishusei2015.00053.1.1： □□精a明。
kyomeishusei2015.00053.1.2： □冝君a卿。
kyomeishusei2015.00053.1.3： 千秋萬□、常樂未a央。
kyomeishusei2015.00054.1.1： 垠錫有齋、與眾異a容。
kyomeishusei2015.00054.1.2： 爲靜精實、請質淸a明。
kyomeishusei2015.00055.1.1： 千秋萬歲、長樂未a央。
kyomeishusei2015.00055.1.2： 結心相思、幸毌相a忘。
kyomeishusei2015.00056.1.1： 大上富貴、長樂未a央。
kyomeishusei2015.00056.1.2： 延年益壽、幸毌見a忘。
kyomeishusei2015.00057.1.1： □□□□、服者君a卿。
kyomeishusei2015.00057.1.2： 延年益壽、安樂未a央。
kyomeishusei2015.00058.1.1： 見日a光。
kyomeishusei2015.00058.1.2： 天下大a陽。
kyomeishusei2015.00058.1.3： 服者君a卿。
kyomeishusei2015.00058.1.4： 延年益壽、敬毌相a忘。
kyomeishusei2015.00058.1.5： 幸至未a央。
kyomeishusei2015.00059.1.1： 見日之a光。
kyomeishusei2015.00059.1.2： 天下大a陽。
kyomeishusei2015.00059.1.3： 服者君a王。
kyomeishusei2015.00059.1.4： 千秋萬歲、長樂未a央。
kyomeishusei2015.00060.1.1： 見日之a光。
kyomeishusei2015.00060.1.2： 天下大a明。
kyomeishusei2015.00060.1.3： 千秋萬歲、長樂未a央。
kyomeishusei2015.00061.1.1： 見日之a光。
kyomeishusei2015.00061.1.2： 天下大a陽。
kyomeishusei2015.00061.1.3： 服者君a卿。
kyomeishusei2015.00061.1.4： 所言必a當。
kyomeishusei2015.00062.1.1： 見日之a光。
kyomeishusei2015.00062.1.2： 天下大a明。
kyomeishusei2015.00062.1.3： 而昭矦a王。
kyomeishusei2015.00062.1.4： 長生未a央。
kyomeishusei2015.00063.1.1： 見日之a光。
kyomeishusei2015.00063.1.2： □者君a卿。
kyomeishusei2015.00063.1.3： 千秋萬歲、長□□□。
kyomeishusei2015.00064.1.1： 見□□□。
kyomeishusei2015.00064.1.2： □□大a陽。
kyomeishusei2015.00064.1.3： 服者君a卿。
kyomeishusei2015.00064.1.4： 所言□□。
kyomeishusei2015.00065.1.1： 見日之a光。
kyomeishusei2015.00065.1.2： 天下大a明。
kyomeishusei2015.00065.1.3： 用者君a卿。
kyomeishusei2015.00066.1.1： 見日之a光。
kyomeishusei2015.00066.1.2： 天下大a陽。
kyomeishusei2015.00066.1.3： 用者君a卿。
kyomeishusei2015.00067.1.1： 見日之a光。
kyomeishusei2015.00067.1.2： 天下大a明。
kyomeishusei2015.00067.1.3： 服者君a王。
kyomeishusei2015.00068.1.1： 見日之a光。
kyomeishusei2015.00068.1.2： 天下大a陽。
kyomeishusei2015.00068.1.3： 所言必a當。
kyomeishusei2015.00069.1.1： 見日之a陽。
kyomeishusei2015.00069.1.2： 天下大a光。
kyomeishusei2015.00069.1.3： 長毌相a忘。
kyomeishusei2015.00070.1.1： 見日之a光。
kyomeishusei2015.00070.1.2： 長樂未a央。
kyomeishusei2015.00071.1.1： 見日之a光。
kyomeishusei2015.00071.1.2： 所言必a當。
kyomeishusei2015.00072.1.1： 見日之a光。
kyomeishusei2015.00072.1.2： 美人在a旁。
kyomeishusei2015.00073.1.1： 見日之a光。
kyomeishusei2015.00073.1.2： 時來何a傷。
kyomeishusei2015.00074.1.1： 天下大a陽。
kyomeishusei2015.00074.1.2： 幸毌見a忘。
kyomeishusei2015.00075.1.1： 見日之a光。
kyomeishusei2015.00075.1.2： 天下大a明。
kyomeishusei2015.00076.1.1： 見日之a光。
kyomeishusei2015.00076.1.2： 天下大a陽。
kyomeishusei2015.00077.1.1： 見日之a光。
kyomeishusei2015.00077.1.2： 長毌相a忘。
kyomeishusei2015.00078.1.1： 見日之a光。
kyomeishusei2015.00078.1.2： 長不相a忘。
kyomeishusei2015.00079.1.1： 見日之a光。
kyomeishusei2015.00079.1.2： 長夫相a忘。
kyomeishusei2015.00080.1.1： 見日之a光。
kyomeishusei2015.00080.1.2： 長毌見a忘。
kyomeishusei2015.00081.1.1： 久不相見、長毌相a忘。
kyomeishusei2015.00082.1.1： 日出大a明。
kyomeishusei2015.00082.1.2： 天下大a陽。
kyomeishusei2015.00083.1.1： 日出大a明。
kyomeishusei2015.00083.1.2： 長毌相a忘。
kyomeishusei2015.00084.1.1： 見日之a光。
kyomeishusei2015.00084.1.2： 有月之a明。
kyomeishusei2015.00085.1.1： 見之a光。
kyomeishusei2015.00085.1.2： 長有日月之a明。
kyomeishusei2015.00086.1.1： 毌棄故而娶a新。
kyomeishusei2015.00086.1.2： 亦成a親。
kyomeishusei2015.00086.1.3： 心與心、長毌相a忘。
kyomeishusei2015.00086.1.4： 倶死葬何a傷。
kyomeishusei2015.00087.1.1： 心與心、亦誠a親。
kyomeishusei2015.00087.1.2： 終不去子從他a人。
kyomeishusei2015.00087.1.3： 所與豫言不可不a信。
kyomeishusei2015.00088.1.1： 恐浮雲兮敝白a日。
kyomeishusei2015.00088.1.2： 復請美兮弇素a質。
kyomeishusei2015.00088.1.3： 行精白兮光運a明。
kyomeishusei2015.00088.1.4： 謗言眾兮有何a傷。
kyomeishusei2015.00089.1.1： 金英陰光冝美a人。
kyomeishusei2015.00089.1.2： 以察衣服無私a親。
kyomeishusei2015.00090.1.1： 請誏金華以爲鏡、昭察衣服觀容貎、絲組中□可爲a信。
kyomeishusei2015.00090.1.2： 光冝美a人。
kyomeishusei2015.00091.1.1： 淸誏銅華以爲鏡、昭察衣服觀容貎、絲組雜遝以爲a信。
kyomeishusei2015.00091.1.2： 淸光兮冝佳a人。
kyomeishusei2015.00092.1.1： 淸誏銅華以爲鏡、昭察衣服觀容貎、絲組雜遝以爲a信。
kyomeishusei2015.00092.1.2： 淸光兮冝佳a人。
kyomeishusei2015.00093.1.1： 淸誏銅華兮以爲監、炤察衣服兮觀傛貎、絲組緡遝兮以爲a信。
kyomeishusei2015.00093.1.2： 淸光兮冝佳a人。
kyomeishusei2015.00094.1.1： 伏念所驩旖無窮a時。
kyomeishusei2015.00094.1.2： 長毋相忘旖久相a思。
kyomeishusei2015.00095.1.1： 忽以覺、寤不a得。
kyomeishusei2015.00095.1.2： 亶自欺、私大a息。
kyomeishusei2015.00096.1.1： 淸誏銅華以爲a鏡。
kyomeishusei2015.00096.1.2： 絲組爲＊以爲信、淸光a明。
kyomeishusei2015.00096.1.3： 服者富貴番a昌。
kyomeishusei2015.00096.1.4： 樂未a央。
kyomeishusei2015.00096.1.5： 千秋萬世、長毌相a忘。
kyomeishusei2015.00096.1.6： 時來何a傷。
kyomeishusei2015.00097.1.1： 見日之a光。
kyomeishusei2015.00097.1.2： 天下大a明。
kyomeishusei2015.00097.1.3： 服者君a卿。
kyomeishusei2015.00097.1.4： 鏡辟不a羊。
kyomeishusei2015.00097.1.5： 富於矦a王。
kyomeishusei2015.00097.1.6： 錢金滿a堂。
kyomeishusei2015.00098.1.1： 見日之a光。
kyomeishusei2015.00098.1.2： 天下大a明。
kyomeishusei2015.00098.1.3： 驅辟不a羊。
kyomeishusei2015.00098.1.4： 服者富貴番a昌。
kyomeishusei2015.00099.1.1： 見日之a光。
kyomeishusei2015.00099.1.2： 天下大a明。
kyomeishusei2015.00099.1.3： 樂未a央。
kyomeishusei2015.00099.1.4： 千秋萬世毌相a忘。
kyomeishusei2015.00099.1.5： 時來何a傷。
kyomeishusei2015.00099.1.6： 冝a王。
kyomeishusei2015.00100.1.1： 見日之a光乎。
kyomeishusei2015.00100.1.2： 與君長毌相a忘兮。
kyomeishusei2015.00101.1.1： 誏淸華精皎a白。
kyomeishusei2015.00101.1.2： 奄惠芳承加a澤。
kyomeishusei2015.00101.1.3： 結微顏安佼a信。
kyomeishusei2015.00101.1.4： 燿流光似佳a人。
kyomeishusei2015.00102.1.1： 居必忠必a信。
kyomeishusei2015.00102.1.2： 久而益a親。
kyomeishusei2015.00102.1.3： 而不信不a忠。
kyomeishusei2015.00102.1.4： 久而自a窮。
kyomeishusei2015.00103.1.1： 姚皎光而耀美、挾佳都而承a閒。
kyomeishusei2015.00103.1.2： 懷驩察而惟豫、愛存神而不a遷。
kyomeishusei2015.00103.1.3： 得竝埶而不衰、精照折而侍a君。
kyomeishusei2015.00104.1.1： 君忘忘而先a志兮。
kyomeishusei2015.00104.1.2： 愛使心曳者a臾。
kyomeishusei2015.00104.1.3： 不可盡行、心沄結而獨a愁。
kyomeishusei2015.00104.1.4： 明知非不可更、志所驩不能a已。
kyomeishusei2015.00105.1.1： 君有行、妾有a憂。
kyomeishusei2015.00105.1.2： 行有日、反毋a期。
kyomeishusei2015.00105.1.3： 願君强飯多a勉之。
kyomeishusei2015.00105.1.4： 卬天大息、長相a思。
kyomeishusei2015.00105.1.5： 毌a久。
kyomeishusei2015.00106.1.1： 行有日兮反毌a時。
kyomeishusei2015.00106.1.2： 結中帶兮長相a思。
kyomeishusei2015.00106.1.3： 妾負君兮萬不a疑。
kyomeishusei2015.00106.1.4： 君負妾兮天a知之。
kyomeishusei2015.00107.1.1： 君有遠行、妾私喜饒自a次。
kyomeishusei2015.00107.1.2： 眞止君征行a來。
kyomeishusei2015.00107.1.3： 何以爲信、祝父母a耳。
kyomeishusei2015.00107.1.4： 何木毌庇、何人毌a友。
kyomeishusei2015.00107.1.5： 相思有常、可長a久。
kyomeishusei2015.00108.1.1： 日有a喜。
kyomeishusei2015.00108.1.2： 月有a富。
kyomeishusei2015.00108.1.3： 樂毌a事。
kyomeishusei2015.00108.1.4： 常得a意。
kyomeishusei2015.00108.1.5： 美人會、竽瑟a侍。
kyomeishusei2015.00108.1.6： 賈市a程。
kyomeishusei2015.00108.1.7： 萬物a平。
kyomeishusei2015.00108.1.8： 老復a丁。
kyomeishusei2015.00108.1.9： 死復a生。
kyomeishusei2015.00108.1.10： 醉不知、醒旦a星。
kyomeishusei2015.00109.1.1： 日有a憙。
kyomeishusei2015.00109.1.2： 月有a富。
kyomeishusei2015.00109.1.3： 樂毌有a事。
kyomeishusei2015.00109.1.4： 冝酒a食。
kyomeishusei2015.00109.1.5： 居而必a安。
kyomeishusei2015.00109.1.6： 無憂a患。
kyomeishusei2015.00109.1.7： 竽瑟侍兮、心志a驩。
kyomeishusei2015.00109.1.8： 樂已哉乎、固常a然。
kyomeishusei2015.00110.1.1： 湅治銅華淸而a明。
kyomeishusei2015.00110.1.2： 以之爲鏡冝文a章。
kyomeishusei2015.00110.1.3： 延年益壽辟不a羊。
kyomeishusei2015.00110.1.4： 與天無亟如日a光。
kyomeishusei2015.00110.1.5： 千秋萬歲樂未a央。
kyomeishusei2015.00111.1.1： 湅治銅華得其a淸。
kyomeishusei2015.00111.1.2： 以之爲鏡昭身a刑。
kyomeishusei2015.00111.1.3： 五色盡具正赤a靑。
kyomeishusei2015.00111.1.4： 與君無亟畢長a生。
kyomeishusei2015.00111.1.5： 如日月a光兮。
kyomeishusei2015.00112.1.1： 聖人之作a鏡兮。
kyomeishusei2015.00112.1.2： 取氣於五a行。
kyomeishusei2015.00112.1.3： 生於道a康兮。
kyomeishusei2015.00112.1.4： 咸有文a章。
kyomeishusei2015.00112.1.5： 光象日月、其質淸a剛。
kyomeishusei2015.00112.1.6： 以視玉容兮、辟去不a羊。
kyomeishusei2015.00112.1.7： 中國大寧、子孫益a昌。
kyomeishusei2015.00112.1.8： 黃常元吉、有紀a剛。
kyomeishusei2015.00113.1.1： 視容正己鏡爲a右。
kyomeishusei2015.00113.1.2： 得氣五行有剛a紀。
kyomeishusei2015.00113.1.3： 法似于天終復a始。
kyomeishusei2015.00113.1.4： 中國大寧冝孫a子。
kyomeishusei2015.00114.1.1： 五行德令鏡之a精。
kyomeishusei2015.00114.1.2： 光象日月智人a請。
kyomeishusei2015.00114.1.3： 常保聖樂長a生。
kyomeishusei2015.00114.1.4： 風雨時節五穀a成。
kyomeishusei2015.00114.1.5： 家給人足天下a平。
kyomeishusei2015.00114.1.6： 子孫累世永安a寧。
kyomeishusei2015.00115.1.1： 維鏡之舊生兮質剛a堅。
kyomeishusei2015.00115.1.2： 處于名山兮俟工a人。
kyomeishusei2015.00115.1.3： 湅取菁華兮光耀a遵。
kyomeishusei2015.00115.1.4： 升高冝兮進近a親。
kyomeishusei2015.00115.1.5： 昭兆朕兮見躬a身。
kyomeishusei2015.00115.1.6： 福喜進兮日以a前。
kyomeishusei2015.00115.1.7： 食玉英兮飮澧a泉。
kyomeishusei2015.00115.1.8： 倡樂陳兮見神a鮮。
kyomeishusei2015.00115.1.9： 葆長命兮壽萬a年。
kyomeishusei2015.00115.1.10： 周復始兮傳子a孫。
kyomeishusei2015.00116.1.1： 内而光、明而a淸。
kyomeishusei2015.00116.1.2： 湅石華、下之a菁。
kyomeishusei2015.00116.1.3： 見弓已、知人a請。
kyomeishusei2015.00116.1.4： 心志得、畢長a生。
kyomeishusei2015.00117.1.1： 金之a菁。
kyomeishusei2015.00117.1.2： 視吾a刑。
kyomeishusei2015.00117.1.3： 見至a誠。
kyomeishusei2015.00117.1.4： 長思a君。
kyomeishusei2015.00117.1.5： 時來a游。
kyomeishusei2015.00117.1.6： 冝子a孫。
kyomeishusei2015.00117.1.7： 樂無a憂。
kyomeishusei2015.00118.1.1： 服此鏡、得大a神。
kyomeishusei2015.00118.1.2： 使此a身。
kyomeishusei2015.00118.1.3： 作亖a陳。
kyomeishusei2015.00118.1.4： 長富貴、毌憂a患。
kyomeishusei2015.00118.1.5： 鏡淸明、傳子a孫。
kyomeishusei2015.00119.1.1： 長樂未a央。
kyomeishusei2015.00119.1.2： 利貳a親。
kyomeishusei2015.00119.1.3： 冝弟a兄。
kyomeishusei2015.00119.1.4： 壽萬a年。
kyomeishusei2015.00119.1.5： 長相保、冝子a孫。
kyomeishusei2015.00119.1.6： 樂已哉兮、固常a然。
kyomeishusei2015.00120.1.1： 昭是明鏡知人a請。
kyomeishusei2015.00120.1.2： 左龍右乕得天a菁。
kyomeishusei2015.00120.1.3： 朱爵玄武法列a星。
kyomeishusei2015.00120.1.4： 八子十二孫居安a寧。
kyomeishusei2015.00120.1.5： 常冝酒食樂長a生兮。
kyomeishusei2015.00122.1.1： 昭是明鏡人快a意。
kyomeishusei2015.00122.1.2： 左龍右乕亖時a置。
kyomeishusei2015.00122.1.3： 長保二親樂無a事。
kyomeishusei2015.00122.1.4： 長冝子孫家大a富。
kyomeishusei2015.00122.1.5： 與君相保常相a憶。
kyomeishusei2015.00123.1.1： 昭是明鏡人快a意。
kyomeishusei2015.00123.1.2： 左龍右乕亖時a置。
kyomeishusei2015.00123.1.3： 長保二親樂無a事。
kyomeishusei2015.00123.1.4： 子孫眾多皆爲a吏。
kyomeishusei2015.00123.1.5： 與天毌亟家大a富。
kyomeishusei2015.00124.1.1： 朱氏明竟快人a意。
kyomeishusei2015.00124.1.2： 上有龍乕亖時a置。
kyomeishusei2015.00124.1.3： 常保二親冝酒a食。
kyomeishusei2015.00124.1.4： 君冝官秩家大a富。
kyomeishusei2015.00124.1.5： 樂未央冝牛a羊。
kyomeishusei2015.00125.1.1： 朱氏明竟快人意上有龍乕亖時置常保二親冝酒食君冝官秩家大富樂未央富貴昌與君相a保。
kyomeishusei2015.00125.1.2： 敝日月a光兮。
kyomeishusei2015.00126.1.1： 角王巨虛日有憙昭此明鏡誠快意上有龍乕亖時置長保二親樂毋事子孫順息家富熾豫天無a極。
kyomeishusei2015.00126.1.2： 受大a福。
kyomeishusei2015.00127.1.1： 角王巨虛日有a憙。
kyomeishusei2015.00127.1.2： 延年益壽去憂a事。
kyomeishusei2015.00127.1.3： 長樂萬世冝酒a食。
kyomeishusei2015.00127.1.4： 子孫賢家大a富。
kyomeishusei2015.00128.1.1： 角王巨虛辟不a詳。
kyomeishusei2015.00128.1.2： 倉龍白乕神而a明。
kyomeishusei2015.00128.1.3： 赤鳥玄武主陰a陽。
kyomeishusei2015.00128.1.4： 國寶受福家富a昌。
kyomeishusei2015.00128.1.5： 長冝子孫樂未a央。
kyomeishusei2015.00129.1.1： 角王巨虛辟不a羊。
kyomeishusei2015.00129.1.2： 長生貴富冝矦a王。
kyomeishusei2015.00129.1.3： 昭爵玄武利陰a陽。
kyomeishusei2015.00129.1.4： 十子九孫治中a央。
kyomeishusei2015.00129.1.5： 法象天地、如日月a光。
kyomeishusei2015.00129.1.6： 千秋万歲、長樂未a央。
kyomeishusei2015.00130.1.1： 朱爵玄武順陰a陽。
kyomeishusei2015.00130.1.2： 八子九孫治中a央。
kyomeishusei2015.00130.1.3： 照面目、身萬a全。
kyomeishusei2015.00130.1.4： 象衣服、好可a觀。
kyomeishusei2015.00130.1.5： 君冝官秩、葆a子。
kyomeishusei2015.00131.1.1： 昭匈脅、身萬a全。
kyomeishusei2015.00131.1.2： 象衣服、好可a觀。
kyomeishusei2015.00131.1.3： 冝佳人、心意a驩。
kyomeishusei2015.00131.1.4： 長裳志、固常a然。
kyomeishusei2015.00131.1.5： 食玉英、飮澧a泉。
kyomeishusei2015.00131.1.6： 駕蜚龍、乘浮a雲。
kyomeishusei2015.00131.1.7： 周復始、傳子a孫。
kyomeishusei2015.00132.1.1： 福熹進兮日以a前。
kyomeishusei2015.00132.1.2： 食玉英兮飮澧a泉。
kyomeishusei2015.00132.1.3： 駕交龍兮乘浮a雲。
kyomeishusei2015.00132.1.4： 白乕引兮上泰a山。
kyomeishusei2015.00132.1.5： 鳳凰集兮見神a仙。
kyomeishusei2015.00132.1.6： 保長命兮壽万a年。
kyomeishusei2015.00132.1.7： 周復始兮八子十二a孫。
kyomeishusei2015.00133.1.1： 福祿進兮日以a前。
kyomeishusei2015.00133.1.2： 天道得物自a然。
kyomeishusei2015.00133.1.3： 參駕蜚龍乘浮a雲。
kyomeishusei2015.00133.1.4： 白乕失上大a山。
kyomeishusei2015.00133.1.5： 鳳皇下見神a人。
kyomeishusei2015.00134.1.1： 上大山見神a人。
kyomeishusei2015.00134.1.2： 食玉英飮澧a泉。
kyomeishusei2015.00134.1.3： 駕交龍乘浮a雲。
kyomeishusei2015.00134.1.4： 白乕引兮直上a天。
kyomeishusei2015.00134.1.5： 受長命壽万a年。
kyomeishusei2015.00134.1.6： 冝官秩保子a孫。
kyomeishusei2015.00135.1.1： 上大山見神a人。
kyomeishusei2015.00135.1.2： 食玉英飮醴a泉。
kyomeishusei2015.00135.1.3： 駕交龍乘浮a雲。
kyomeishusei2015.00135.1.4： 冝官秩保子a孫。
kyomeishusei2015.00135.1.5： 壽万a年。
kyomeishusei2015.00135.1.6： 貴富a昌。
kyomeishusei2015.00135.1.7： 樂未a央。
kyomeishusei2015.00136.1.1： 上大山見神a人。
kyomeishusei2015.00136.1.2： 食玉英飮醴a泉。
kyomeishusei2015.00136.1.3： 駕交龍乘浮a雲。
kyomeishusei2015.00136.1.4： 冝官秩保子a孫。
kyomeishusei2015.00136.1.5： 壽万a年。
kyomeishusei2015.00136.1.6： 貴富a昌。
kyomeishusei2015.00136.1.7： 樂未a央。
kyomeishusei2015.00136.1.8： 冝牛a羊。
kyomeishusei2015.00141.1.1： 上泰山見矦a王。
kyomeishusei2015.00141.1.2： 左龍右乕辟不a羊。
kyomeishusei2015.00141.1.3： 昭爵玄武利陰a陽。
kyomeishusei2015.00141.1.4： 八子九孫治中a央。
kyomeishusei2015.00141.1.5： 千秋万歲、長樂未a央。
kyomeishusei2015.00142.1.1： 上此大山見神a人。
kyomeishusei2015.00142.1.2： 久冝官秩葆子a孫。
kyomeishusei2015.00142.1.3： 君食玉央飮禮a泉。
kyomeishusei2015.00142.1.4： 參駕蜚龍乘浮a雲。
kyomeishusei2015.00143.1.1： 鳳皇翼翼在鏡a則。
kyomeishusei2015.00143.1.2： 多賀君家受大a福。
kyomeishusei2015.00143.1.3： 幸逢時年獲嘉a德。
kyomeishusei2015.00143.1.4： 官位尊顯蒙祿a食。
kyomeishusei2015.00143.1.5： 長保二親得天a力。
kyomeishusei2015.00143.1.6： 傳之後世樂無a極。
kyomeishusei2015.00144.1.1： 作佳鏡哉子孫a息。
kyomeishusei2015.00144.1.2： 鳳皇翼翼在坐a則。
kyomeishusei2015.00144.1.3： 官位尊顯蒙祿a食。
kyomeishusei2015.00144.1.4： 幸逢時年獲嘉a德。
kyomeishusei2015.00144.1.5： 多賀君家受大a福。
kyomeishusei2015.00144.1.6： 長保二親得天a力。
kyomeishusei2015.00144.1.7： 傳之後世樂無a極。
kyomeishusei2015.00145.1.1： 新銀治竟子孫a息。
kyomeishusei2015.00145.1.2： 多賀君家受大a福。
kyomeishusei2015.00145.1.3： 位至公卿修祿a食。
kyomeishusei2015.00145.1.4： 幸得時年獲嘉a德。
kyomeishusei2015.00145.1.5： 傳之後世樂無a亟。
kyomeishusei2015.00145.1.6： 大a吉。
